iter	RMSE
0	340932.9702
1	329618.776
2	318775.233
3	308734.929
4	299247.7048
5	290010.8361
6	281259.2094
7	272920.7914
8	265298.9262
9	257845.3571
10	250458.3407
11	243652.5989
12	237484.2769
13	231589.8069
14	225366.4546
15	220228.4446
16	215142.8989
17	210058.8931
18	205428.9455
19	200756.0947
20	196509.3681
21	192229.3806
22	188104.7824
23	184514.7756
24	180865.3548
25	177366.4631
26	174361.9553
27	171136.821
28	168022.497
29	165333.1965
30	162704.63
31	159864.3505
32	157465.5497
33	155106.7988
34	152760.4048
35	150492.5426
36	148328.8593
37	146261.5476
38	144525.3454
39	142567.7577
40	140776.3298
41	139041.8596
42	137447.1068
43	135898.0657
44	134358.811
45	132966.7494
46	131558.7545
47	130165.9211
48	128950.1669
49	127756.9645
50	126548.3542
51	125506.3402
52	124398.01
53	123382.2473
54	122415.2031
55	121575.7897
56	120740.6281
57	119923.4272
58	119141.6586
59	118473.4335
60	117669.8983
61	117007.5407
62	116323.1015
63	115695.6744
64	115107.0354
65	114558.3828
66	113963.3747
67	113460.8478
68	112912.7634
69	112473.7329
70	111960.6033
71	111517.3041
72	111115.9024
73	110732.2673
74	110347.0519
75	109971.2432
76	109630.3772
77	109306.1463
78	108909.1831
79	108533.3211
80	108224.2171
81	107884.3162
82	107611.371
83	107315.1027
84	107033.9697
85	106789.0053
86	106508.9667
87	106254.8716
88	106016.4064
89	105814.4749
90	105628.9724
91	105431.0516
92	105232.0355
93	105020.8581
94	104829.6411
95	104621.9871
96	104433.5622
97	104279.4446
98	104143.8977
99	104009.3682
100	103836.1752
101	103717.7973
102	103592.3444
103	103461.2161
104	103360.0371
105	103219.9228
106	103102.5683
107	103000.0681
108	102868.9152
109	102758.2184
110	102649.7029
111	102554.5318
112	102476.6197
113	102392.042
114	102302.0744
115	102196.589
116	102125.4596
117	102023.2304
118	101943.5948
119	101861.0605
120	101800.5483
121	101727.9257
122	101660.4249
123	101577.2619
124	101505.3776
125	101449.6726
126	101372.8268
127	101305.3226
128	101241.6997
129	101177.5311
130	101116.0258
131	101039.9781
132	100963.5731
133	100903.6398
134	100837.3083
135	100790.5188
136	100741.2128
137	100690.3368
138	100643.962
139	100600.833
140	100553.505
141	100495.1161
142	100448.9104
143	100388.1452
144	100339.6531
145	100298.9183
146	100260.493
147	100211.8227
148	100164.768
149	100116.2064
150	100068.3777
151	100019.9614
152	99982.0247
153	99934.54045
154	99901.94947
155	99860.86847
156	99823.18629
157	99782.91616
158	99744.45283
159	99718.48848
160	99681.21513
161	99638.45619
162	99609.68791
163	99573.55101
164	99542.48376
165	99517.73731
166	99468.64106
167	99444.18536
168	99411.28179
169	99371.6299
170	99339.29634
171	99301.36398
172	99274.9057
173	99236.34295
174	99202.2137
175	99170.0032
176	99142.56822
177	99117.27782
178	99091.45814
179	99059.23093
180	99031.51747
181	98996.16396
182	98967.44735
183	98932.85659
184	98904.35045
185	98877.86276
186	98842.04447
187	98813.59731
188	98763.67999
189	98736.34976
190	98710.43805
191	98663.75826
192	98637.9371
193	98616.71369
194	98583.08161
195	98557.00774
196	98524.87691
197	98502.41914
198	98455.78204
199	98424.11532
200	98401.73753
201	98377.0289
202	98350.74907
203	98309.01693
204	98265.5455
205	98224.19162
206	98193.16028
207	98156.42534
208	98100.70919
209	98056.4914
210	98024.67478
211	97987.57438
212	97964.08953
213	97935.92782
214	97904.23136
215	97877.0219
216	97853.80902
217	97820.88199
218	97800.57303
219	97774.47131
220	97752.70485
221	97729.32551
222	97703.38119
223	97658.21148
224	97635.50098
225	97600.15223
226	97569.41373
227	97537.07376
228	97515.94533
229	97482.95201
230	97451.88199
231	97418.88886
232	97388.29712
233	97357.06898
234	97333.38851
235	97306.05738
236	97272.59459
237	97243.8422
238	97204.53788
239	97182.20878
240	97136.27222
241	97111.33312
242	97076.16548
243	97038.79595
244	97008.77798
245	96988.13784
246	96953.76923
247	96926.6928
248	96903.88726
249	96874.71825
250	96824.61431
251	96799.29148
252	96762.73535
253	96735.29484
254	96695.56271
255	96675.40224
256	96641.89978
257	96599.06884
258	96557.97808
259	96524.53607
260	96501.55141
261	96481.73611
262	96448.87749
263	96419.46555
264	96385.62834
265	96344.00012
266	96328.18572
267	96290.72505
268	96263.71986
269	96230.79314
270	96203.14667
271	96176.53258
272	96137.60503
273	96106.65654
274	96088.50025
275	96067.01352
276	96033.44199
277	96009.5272
278	95968.18096
279	95932.71551
280	95903.55418
