iter	Passed	Remaining
0	22	22169
1	34	17257
2	58	19360
3	66	16677
4	78	15646
5	82	13745
6	92	13191
7	104	12978
8	115	12687
9	121	12043
10	131	11848
11	137	11289
12	149	11329
13	169	11939
14	182	12008
15	201	12404
16	217	12601
17	232	12693
18	242	12500
19	251	12342
20	256	11976
21	280	12449
22	311	13228
23	324	13182
24	344	13420
25	357	13374
26	367	13234
27	398	13823
28	411	13778
29	422	13671
30	431	13481
31	460	13925
32	470	13793
33	481	13689
34	496	13677
35	517	13852
36	527	13723
37	537	13610
38	546	13474
39	553	13287
40	566	13250
41	573	13082
42	580	12925
43	592	12874
44	612	12991
45	621	12883
46	632	12821
47	643	12762
48	656	12743
49	668	12699
50	680	12660
51	690	12583
52	700	12519
53	706	12383
54	719	12357
55	731	12334
56	738	12215
57	749	12169
58	764	12195
59	771	12088
60	788	12133
61	802	12145
62	823	12240
63	835	12222
64	851	12247
65	862	12210
66	884	12310
67	902	12362
68	912	12308
69	917	12196
70	944	12363
71	955	12312
72	965	12260
73	979	12262
74	1015	12519
75	1038	12624
76	1059	12694
77	1073	12685
78	1079	12583
79	1089	12530
80	1099	12477
81	1111	12437
82	1121	12393
83	1136	12389
84	1148	12368
85	1179	12537
86	1195	12547
87	1215	12595
88	1242	12722
89	1259	12733
90	1272	12714
91	1295	12789
92	1325	12922
93	1331	12838
94	1352	12886
95	1369	12892
96	1389	12936
97	1397	12859
98	1423	12956
99	1476	13285
100	1487	13241
101	1496	13175
102	1503	13097
103	1522	13118
104	1537	13103
105	1554	13111
106	1564	13059
107	1592	13155
108	1604	13112
109	1614	13059
110	1628	13044
111	1638	12993
112	1659	13022
113	1670	12980
114	1679	12927
115	1691	12890
116	1706	12877
117	1746	13054
118	1782	13193
119	1801	13213
120	1826	13267
121	1836	13213
122	1857	13247
123	1909	13489
124	1922	13457
125	1931	13398
126	1959	13469
127	1974	13452
128	2008	13562
129	2029	13583
130	2053	13623
131	2075	13649
132	2092	13642
133	2114	13662
134	2123	13605
135	2141	13603
136	2183	13751
137	2205	13774
138	2231	13823
139	2262	13898
140	2274	13856
141	2283	13798
142	2323	13924
143	2334	13877
144	2344	13823
145	2353	13767
146	2360	13698
147	2375	13676
148	2408	13756
149	2426	13747
150	2440	13722
151	2459	13720
152	2475	13704
153	2484	13650
154	2514	13707
155	2525	13661
156	2533	13605
157	2548	13579
158	2562	13556
159	2589	13593
160	2613	13618
161	2645	13684
162	2665	13689
163	2678	13656
164	2694	13636
165	2699	13563
166	2704	13489
167	2711	13427
168	2719	13370
169	2725	13306
170	2730	13238
171	2741	13199
172	2751	13153
173	2760	13102
174	2769	13057
175	2776	12997
176	2793	12990
177	2809	12976
178	2854	13091
179	2865	13054
180	2888	13070
181	2900	13034
182	2912	13002
183	2923	12967
184	2960	13041
185	2980	13042
186	3003	13057
187	3019	13041
188	3033	13015
189	3048	12997
190	3069	13003
191	3079	12961
192	3100	12963
193	3114	12941
194	3145	12984
195	3159	12959
196	3175	12944
197	3194	12937
198	3205	12903
199	3229	12917
200	3239	12877
201	3255	12861
202	3272	12849
203	3284	12814
204	3290	12762
205	3304	12737
206	3325	12737
207	3337	12706
208	3351	12684
209	3368	12671
210	3396	12702
211	3410	12675
212	3430	12674
213	3449	12668
214	3460	12636
215	3468	12589
216	3477	12547
217	3491	12523
218	3505	12502
219	3511	12450
220	3526	12429
221	3552	12448
222	3560	12406
223	3580	12405
224	3609	12433
225	3636	12455
226	3643	12408
227	3676	12449
